"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"2003"	"2003"	"11 years"	"11"	623	4254047	14.6
	"2003"	"2003"	"12 years"	"12"	756	4332987	17.4
	"2003"	"2003"	"13 years"	"13"	911	4401393	20.7
	"2003"	"2003"	"14 years"	"14"	1083	4221884	25.7
	"2003"	"2003"	"15 years"	"15"	1397	4172654	33.5
	"2003"	"2003"	"16 years"	"16"	2186	4139141	52.8
	"2003"	"2003"	"17 years"	"17"	2702	4160313	64.9
	"2003"	"2003"	"18 years"	"18"	3537	4201835	84.2
	"2003"	"2003"	"19 years"	"19"	3773	4123223	91.5
	"2003"	"2003"	"20 years"	"20"	3943	4156877	94.9
	"2003"	"2003"	"21 years"	"21"	4019	4167554	96.4
	"2003"	"2003"	"22 years"	"22"	4161	4175294	99.7
	"2003"	"2003"	"23 years"	"23"	4004	4147777	96.5
	"2003"	"2003"	"24 years"	"24"	3846	3944186	97.5
	"2003"	"2003"	"25 years"	"25"	3615	3842468	94.1
	"2003"	"2003"	"26 years"	"26"	3676	3771710	97.5
	"2003"	"2003"	"27 years"	"27"	3604	3688646	97.7
	"2003"	"2003"	"28 years"	"28"	3576	3794838	94.2
	"2003"	"2003"	"29 years"	"29"	3779	3673923	102.9
	"2003"	"2003"	"30 years"	"30"	3906	3813536	102.4
	"2003"	"2003"	"31 years"	"31"	4256	3973726	107.1
	"2003"	"2003"	"32 years"	"32"	4719	4245067	111.2
	"2003"	"2003"	"33 years"	"33"	5063	4337299	116.7
	"2003"	"2003"	"34 years"	"34"	5106	4102582	124.5
	"2003"	"2003"	"35 years"	"35"	5537	4042650	137.0
	"2003"	"2003"	"36 years"	"36"	5952	4051962	146.9
	"2003"	"2003"	"37 years"	"37"	6639	4165007	159.4
	"2003"	"2003"	"38 years"	"38"	7503	4462051	168.2
	"2003"	"2003"	"39 years"	"39"	8424	4542489	185.4
	"2003"	"2003"	"40 years"	"40"	9212	4529389	203.4
	"2003"	"2003"	"41 years"	"41"	10161	4556844	223.0
	"2003"	"2003"	"42 years"	"42"	11110	4606465	241.2
	"2003"	"2003"	"43 years"	"43"	12029	4699388	256.0
	"2003"	"2003"	"44 years"	"44"	12894	4497961	286.7
	"2003"	"2003"	"45 years"	"45"	13673	4499971	303.8
	"2003"	"2003"	"46 years"	"46"	14973	4462427	335.5
	"2003"	"2003"	"47 years"	"47"	15596	4300483	362.7
	"2003"	"2003"	"48 years"	"48"	16579	4317939	384.0
	"2003"	"2003"	"49 years"	"49"	17352	4141856	418.9
	"2003"	"2003"	"50 years"	"50"	18055	3998812	451.5
	"2003"	"2003"	"51 years"	"51"	18846	3886144	485.0
	"2003"	"2003"	"52 years"	"52"	19506	3782009	515.8
	"2003"	"2003"	"53 years"	"53"	20241	3783390	535.0
	"2003"	"2003"	"54 years"	"54"	21960	3646923	602.2
	"2003"	"2003"	"55 years"	"55"	23261	3601691	645.8
	"2003"	"2003"	"56 years"	"56"	25373	3785668	670.2
	"2003"	"2003"	"57 years"	"57"	21829	2831596	770.9
	"2003"	"2003"	"58 years"	"58"	23316	2821608	826.3
	"2003"	"2003"	"59 years"	"59"	25560	2773994	921.4
	"2003"	"2003"	"60 years"	"60"	28145	2849408	987.7
	"2003"	"2003"	"61 years"	"61"	27509	2534959	1085.2
	"2003"	"2003"	"62 years"	"62"	28126	2352131	1195.8
	"2003"	"2003"	"63 years"	"63"	28881	2289143	1261.7
	"2003"	"2003"	"64 years"	"64"	30519	2168747	1407.2
	"2003"	"2003"	"65 years"	"65"	31760	2125962	1493.9
	"2003"	"2003"	"66 years"	"66"	32535	1999916	1626.8
	"2003"	"2003"	"67 years"	"67"	35034	1961151	1786.4
	"2003"	"2003"	"68 years"	"68"	37184	1955990	1901.0
	"2003"	"2003"	"69 years"	"69"	38304	1787777	2142.5
	"2003"	"2003"	"70 years"	"70"	41374	1777336	2327.9
	"2003"	"2003"	"71 years"	"71"	43803	1760292	2488.4
	"2003"	"2003"	"72 years"	"72"	47962	1736351	2762.2
	"2003"	"2003"	"73 years"	"73"	51700	1751589	2951.6
	"2003"	"2003"	"74 years"	"74"	53841	1644551	3273.9
	"2003"	"2003"	"75 years"	"75"	58764	1617308	3633.4
	"2003"	"2003"	"76 years"	"76"	61925	1567629	3950.2
	"2003"	"2003"	"77 years"	"77"	64656	1489790	4339.9
	"2003"	"2003"	"78 years"	"78"	68459	1456995	4698.6
	"2003"	"2003"	"79 years"	"79"	71381	1366120	5225.1
	"2003"	"2003"	"80 years"	"80"	73082	1259724	5801.4
	"2003"	"2003"	"81 years"	"81"	76366	1196760	6381.1
	"2003"	"2003"	"82 years"	"82"	77613	1100969	7049.5
	"2003"	"2003"	"83 years"	"83"	77263	997727	7743.9
	"2003"	"2003"	"84 years"	"84"	73515	843416	8716.3
	"2003"	"2003"	"85 years"	"85"	73905	Not Applicable	Not Applicable
	"2003"	"2003"	"86 years"	"86"	71865	Not Applicable	Not Applicable
	"2003"	"2003"	"87 years"	"87"	69675	Not Applicable	Not Applicable
	"2003"	"2003"	"88 years"	"88"	67694	Not Applicable	Not Applicable
	"2003"	"2003"	"89 years"	"89"	63708	Not Applicable	Not Applicable
	"2003"	"2003"	"90 years"	"90"	58486	Not Applicable	Not Applicable
	"2003"	"2003"	"91 years"	"91"	52427	Not Applicable	Not Applicable
	"2003"	"2003"	"92 years"	"92"	46435	Not Applicable	Not Applicable
	"2003"	"2003"	"93 years"	"93"	40449	Not Applicable	Not Applicable
	"2003"	"2003"	"94 years"	"94"	33606	Not Applicable	Not Applicable
	"2003"	"2003"	"95 years"	"95"	28565	Not Applicable	Not Applicable
	"2003"	"2003"	"96 years"	"96"	22406	Not Applicable	Not Applicable
	"2003"	"2003"	"97 years"	"97"	17015	Not Applicable	Not Applicable
	"2003"	"2003"	"98 years"	"98"	12892	Not Applicable	Not Applicable
	"2003"	"2003"	"99 years"	"99"	9393	Not Applicable	Not Applicable
	"2003"	"2003"	"100+ years"	"100"	19331	Not Applicable	Not Applicable
	"2003"	"2003"	"Not Stated"	"NS"	342	Not Applicable	Not Applicable
	"2004"	"2004"	"< 1 year"	"0"	27936	4014258	695.9
	"2004"	"2004"	"1 year"	"1"	1964	3953063	49.7
	"2004"	"2004"	"2 years"	"2"	1194	3933735	30.4
	"2004"	"2004"	"3 years"	"3"	889	4008220	22.2
	"2004"	"2004"	"4 years"	"4"	738	3876609	19.0
	"2004"	"2004"	"5 years"	"5"	657	3829607	17.2
	"2004"	"2004"	"6 years"	"6"	602	3822089	15.8
	"2004"	"2004"	"7 years"	"7"	538	3850646	14.0
	"2004"	"2004"	"8 years"	"8"	521	3933161	13.2
	"2004"	"2004"	"9 years"	"9"	570	4018734	14.2
	"2004"	"2004"	"10 years"	"10"	577	4151951	13.9
	"2004"	"2004"	"11 years"	"11"	581	4207721	13.8
	"2004"	"2004"	"12 years"	"12"	734	4293550	17.1
	"2004"	"2004"	"13 years"	"13"	880	4350199	20.2
	"2004"	"2004"	"14 years"	"14"	1174	4408259	26.6
	"2004"	"2004"	"15 years"	"15"	1527	4264863	35.8
	"2004"	"2004"	"16 years"	"16"	2210	4213762	52.4
	"2004"	"2004"	"17 years"	"17"	2712	4167308	65.1
	"2004"	"2004"	"18 years"	"18"	3491	4214061	82.8
	"2004"	"2004"	"19 years"	"19"	3766	4242558	88.8
	"2004"	"2004"	"20 years"	"20"	3748	4131771	90.7
	"2004"	"2004"	"21 years"	"21"	4095	4180191	98.0
	"2004"	"2004"	"22 years"	"22"	4020	4173077	96.3
	"2004"	"2004"	"23 years"	"23"	3905	4192674	93.1
	"2004"	"2004"	"24 years"	"24"	3947	4167847	94.7
	"2004"	"2004"	"25 years"	"25"	3856	3981519	96.8
	"2004"	"2004"	"26 years"	"26"	3783	3838225	98.6
	"2004"	"2004"	"27 years"	"27"	3783	3801676	99.5
	"2004"	"2004"	"28 years"	"28"	3551	3697495	96.0
	"2004"	"2004"	"29 years"	"29"	3798	3788140	100.3
	"2004"	"2004"	"30 years"	"30"	3592	3737940	96.1
	"2004"	"2004"	"31 years"	"31"	3980	3790984	105.0
	"2004"	"2004"	"32 years"	"32"	4515	4023788	112.2
	"2004"	"2004"	"33 years"	"33"	4800	4257394	112.7
	"2004"	"2004"	"34 years"	"34"	5210	4349395	119.8
	"2004"	"2004"	"35 years"	"35"	5495	4127056	133.1
	"2004"	"2004"	"36 years"	"36"	5606	4048580	138.5
	"2004"	"2004"	"37 years"	"37"	6220	4051890	153.5
	"2004"	"2004"	"38 years"	"38"	6831	4174027	163.7
	"2004"	"2004"	"39 years"	"39"	7792	4473096	174.2
	"2004"	"2004"	"40 years"	"40"	8867	4540929	195.3
	"2004"	"2004"	"41 years"	"41"	9654	4540376	212.6
	"2004"	"2004"	"42 years"	"42"	10741	4555019	235.8
	"2004"	"2004"	"43 years"	"43"	11709	4610120	254.0
	"2004"	"2004"	"44 years"	"44"	12447	4679182	266.0
	"2004"	"2004"	"45 years"	"45"	13605	4486566	303.2
	"2004"	"2004"	"46 years"	"46"	14805	4506067	328.6
	"2004"	"2004"	"47 years"	"47"	15809	4465196	354.0
	"2004"	"2004"	"48 years"	"48"	16368	4287486	381.8
	"2004"	"2004"	"49 years"	"49"	17340	4319947	401.4
	"2004"	"2004"	"50 years"	"50"	18365	4121104	445.6
	"2004"	"2004"	"51 years"	"51"	19112	4010062	476.6
	"2004"	"2004"	"52 years"	"52"	19968	3868188	516.2
	"2004"	"2004"	"53 years"	"53"	20651	3782872	545.9
	"2004"	"2004"	"54 years"	"54"	21674	3782442	573.0
	"2004"	"2004"	"55 years"	"55"	22772	3618001	629.4
	"2004"	"2004"	"56 years"	"56"	24262	3603856	673.2
	"2004"	"2004"	"57 years"	"57"	26838	3763702	713.1
	"2004"	"2004"	"58 years"	"58"	23093	2819754	819.0
	"2004"	"2004"	"59 years"	"59"	24198	2801863	863.6
	"2004"	"2004"	"60 years"	"60"	26363	2739059	962.5
	"2004"	"2004"	"61 years"	"61"	29422	2848602	1032.9
	"2004"	"2004"	"62 years"	"62"	28754	2515357	1143.1
	"2004"	"2004"	"63 years"	"63"	28976	2335553	1240.6
	"2004"	"2004"	"64 years"	"64"	30019	2259557	1328.5
	"2004"	"2004"	"65 years"	"65"	31294	2148431	1456.6
	"2004"	"2004"	"66 years"	"66"	32894	2098650	1567.4
	"2004"	"2004"	"67 years"	"67"	34033	1975087	1723.1
	"2004"	"2004"	"68 years"	"68"	35789	1930847	1853.5
	"2004"	"2004"	"69 years"	"69"	37974	1920414	1977.4
	"2004"	"2004"	"70 years"	"70"	39344	1744903	2254.8
	"2004"	"2004"	"71 years"	"71"	41942	1747347	2400.3
	"2004"	"2004"	"72 years"	"72"	45322	1713793	2644.5
	"2004"	"2004"	"73 years"	"73"	48520	1691931	2867.7
	"2004"	"2004"	"74 years"	"74"	52554	1696130	3098.5
	"2004"	"2004"	"75 years"	"75"	55089	1581121	3484.2
	"2004"	"2004"	"76 years"	"76"	59134	1566753	3774.3
	"2004"	"2004"	"77 years"	"77"	62377	1501866	4153.3
	"2004"	"2004"	"78 years"	"78"	65378	1425682	4585.7
	"2004"	"2004"	"79 years"	"79"	68768	1385977	4961.7
	"2004"	"2004"	"80 years"	"80"	71315	1286733	5542.3
	"2004"	"2004"	"81 years"	"81"	72786	1189534	6118.9
	"2004"	"2004"	"82 years"	"82"	76388	1115106	6850.3
	"2004"	"2004"	"83 years"	"83"	77067	1023151	7532.3
	"2004"	"2004"	"84 years"	"84"	75928	913980	8307.4
	"2004"	"2004"	"85 years"	"85"	71116	Not Applicable	Not Applicable
	"2004"	"2004"	"86 years"	"86"	71293	Not Applicable	Not Applicable
	"2004"	"2004"	"87 years"	"87"	68096	Not Applicable	Not Applicable
	"2004"	"2004"	"88 years"	"88"	65235	Not Applicable	Not Applicable
	"2004"	"2004"	"89 years"	"89"	62400	Not Applicable	Not Applicable
	"2004"	"2004"	"90 years"	"90"	57365	Not Applicable	Not Applicable
	"2004"	"2004"	"91 years"	"91"	51846	Not Applicable	Not Applicable
	"2004"	"2004"	"92 years"	"92"	45308	Not Applicable	Not Applicable
	"2004"	"2004"	"93 years"	"93"	39487	Not Applicable	Not Applicable
	"2004"	"2004"	"94 years"	"94"	33655	Not Applicable	Not Applicable
	"2004"	"2004"	"95 years"	"95"	27074	Not Applicable	Not Applicable
	"2004"	"2004"	"96 years"	"96"	22038	Not Applicable	Not Applicable
	"2004"	"2004"	"97 years"	"97"	16862	Not Applicable	Not Applicable
	"2004"	"2004"	"98 years"	"98"	12366	Not Applicable	Not Applicable
	"2004"	"2004"	"99 years"	"99"	9106	Not Applicable	Not Applicable
	"2004"	"2004"	"100+ years"	"100"	18526	Not Applicable	Not Applicable
	"2004"	"2004"	"Not Stated"	"NS"	346	Not Applicable	Not Applicable
	"2005"	"2005"	"< 1 year"	"0"	28440	4004393	710.2
	"2005"	"2005"	"1 year"	"1"	1915	3987032	48.0
	"2005"	"2005"	"2 years"	"2"	1244	3952632	31.5
	"2005"	"2005"	"3 years"	"3"	875	3943215	22.2
	"2005"	"2005"	"4 years"	"4"	722	4030128	17.9
	"2005"	"2005"	"5 years"	"5"	596	3893128	15.3
	"2005"	"2005"	"6 years"	"6"	619	3828153	16.2
	"2005"	"2005"	"7 years"	"7"	547	3838840	14.2
	"2005"	"2005"	"8 years"	"8"	530	3861877	13.7
	"2005"	"2005"	"9 years"	"9"	545	3967069	13.7
	"2005"	"2005"	"10 years"	"10"	509	4150122	12.3
	"2005"	"2005"	"11 years"	"11"	601	4149228	14.5
	"2005"	"2005"	"12 years"	"12"	647	4251162	15.2
	"2005"	"2005"	"13 years"	"13"	849	4308851	19.7
	"2005"	"2005"	"14 years"	"14"	1159	4353216	26.6
	"2005"	"2005"	"15 years"	"15"	1514	4456969	34.0
	"2005"	"2005"	"16 years"	"16"	2106	4308145	48.9
	"2005"	"2005"	"17 years"	"17"	2760	4239509	65.1
	"2005"	"2005"	"18 years"	"18"	3454	4225126	81.7
	"2005"	"2005"	"19 years"	"19"	3869	4256465	90.9
	"2005"	"2005"	"20 years"	"20"	3859	4241197	91.0
	"2005"	"2005"	"21 years"	"21"	4177	4150658	100.6
	"2005"	"2005"	"22 years"	"22"	4189	4176096	100.3
	"2005"	"2005"	"23 years"	"23"	4182	4183656	100.0
	"2005"	"2005"	"24 years"	"24"	4124	4208348	98.0
	"2005"	"2005"	"25 years"	"25"	4119	4206096	97.9
	"2005"	"2005"	"26 years"	"26"	4006	3966722	101.0
	"2005"	"2005"	"27 years"	"27"	3896	3870040	100.7
	"2005"	"2005"	"28 years"	"28"	3860	3805526	101.4
	"2005"	"2005"	"29 years"	"29"	3687	3686326	100.0
	"2005"	"2005"	"30 years"	"30"	3940	3866581	101.9
	"2005"	"2005"	"31 years"	"31"	4064	3705594	109.7
	"2005"	"2005"	"32 years"	"32"	4444	3848038	115.5
	"2005"	"2005"	"33 years"	"33"	4679	4035045	116.0
	"2005"	"2005"	"34 years"	"34"	5230	4268679	122.5
	"2005"	"2005"	"35 years"	"35"	5501	4377057	125.7
	"2005"	"2005"	"36 years"	"36"	5646	4130501	136.7
	"2005"	"2005"	"37 years"	"37"	6092	4044933	150.6
	"2005"	"2005"	"38 years"	"38"	6630	4060608	163.3
	"2005"	"2005"	"39 years"	"39"	7551	4185554	180.4
	"2005"	"2005"	"40 years"	"40"	8594	4470383	192.2
	"2005"	"2005"	"41 years"	"41"	9554	4553968	209.8
	"2005"	"2005"	"42 years"	"42"	10773	4537278	237.4
	"2005"	"2005"	"43 years"	"43"	11676	4559728	256.1
	"2005"	"2005"	"44 years"	"44"	12768	4585528	278.4
	"2005"	"2005"	"45 years"	"45"	13782	4666734	295.3
	"2005"	"2005"	"46 years"	"46"	14714	4496805	327.2
	"2005"	"2005"	"47 years"	"47"	15779	4511695	349.7
	"2005"	"2005"	"48 years"	"48"	16969	4449860	381.3
	"2005"	"2005"	"49 years"	"49"	18139	4292077	422.6
	"2005"	"2005"	"50 years"	"50"	19183	4295348	446.6
	"2005"	"2005"	"51 years"	"51"	19926	4138594	481.5
	"2005"	"2005"	"52 years"	"52"	21181	3989065	531.0
	"2005"	"2005"	"53 years"	"53"	21619	3871906	558.4
	"2005"	"2005"	"54 years"	"54"	22238	3783820	587.7
	"2005"	"2005"	"55 years"	"55"	23400	3748247	624.3
	"2005"	"2005"	"56 years"	"56"	24329	3625240	671.1
	"2005"	"2005"	"57 years"	"57"	26278	3582008	733.6
	"2005"	"2005"	"58 years"	"58"	28623	3748661	763.6
	"2005"	"2005"	"59 years"	"59"	24848	2799064	887.7
	"2005"	"2005"	"60 years"	"60"	26050	2763609	942.6
	"2005"	"2005"	"61 years"	"61"	28086	2745139	1023.1
	"2005"	"2005"	"62 years"	"62"	31895	2827064	1128.2
	"2005"	"2005"	"63 years"	"63"	30880	2498812	1235.8
	"2005"	"2005"	"64 years"	"64"	30912	2303653	1341.9
	"2005"	"2005"	"65 years"	"65"	31533	2240858	1407.2
	"2005"	"2005"	"66 years"	"66"	32790	2121740	1545.4
	"2005"	"2005"	"67 years"	"67"	34775	2074635	1676.2
	"2005"	"2005"	"68 years"	"68"	35565	1945279	1828.3
	"2005"	"2005"	"69 years"	"69"	37573	1896115	1981.6
	"2005"	"2005"	"70 years"	"70"	40502	1873726	2161.6
	"2005"	"2005"	"71 years"	"71"	41615	1718367	2421.8
	"2005"	"2005"	"72 years"	"72"	44448	1700960	2613.1
	"2005"	"2005"	"73 years"	"73"	48368	1671512	2893.7
	"2005"	"2005"	"74 years"	"74"	51186	1638505	3123.9
	"2005"	"2005"	"75 years"	"75"	54667	1629763	3354.3
	"2005"	"2005"	"76 years"	"76"	57153	1535359	3722.5
	"2005"	"2005"	"77 years"	"77"	62123	1501643	4137.0
	"2005"	"2005"	"78 years"	"78"	65646	1439475	4560.4
	"2005"	"2005"	"79 years"	"79"	68299	1357369	5031.7
	"2005"	"2005"	"80 years"	"80"	72197	1305661	5529.5
	"2005"	"2005"	"81 years"	"81"	74274	1218283	6096.6
	"2005"	"2005"	"82 years"	"82"	75397	1109756	6794.0
	"2005"	"2005"	"83 years"	"83"	78135	1038431	7524.3
	"2005"	"2005"	"84 years"	"84"	78774	939062	8388.6
	"2005"	"2005"	"85 years"	"85"	77060	Not Applicable	Not Applicable
	"2005"	"2005"	"86 years"	"86"	71933	Not Applicable	Not Applicable
	"2005"	"2005"	"87 years"	"87"	71210	Not Applicable	Not Applicable
	"2005"	"2005"	"88 years"	"88"	67493	Not Applicable	Not Applicable
	"2005"	"2005"	"89 years"	"89"	63702	Not Applicable	Not Applicable
	"2005"	"2005"	"90 years"	"90"	60272	Not Applicable	Not Applicable
	"2005"	"2005"	"91 years"	"91"	54510	Not Applicable	Not Applicable
	"2005"	"2005"	"92 years"	"92"	48560	Not Applicable	Not Applicable
	"2005"	"2005"	"93 years"	"93"	41558	Not Applicable	Not Applicable
	"2005"	"2005"	"94 years"	"94"	34806	Not Applicable	Not Applicable
	"2005"	"2005"	"95 years"	"95"	28986	Not Applicable	Not Applicable
	"2005"	"2005"	"96 years"	"96"	22975	Not Applicable	Not Applicable
	"2005"	"2005"	"97 years"	"97"	18051	Not Applicable	Not Applicable
	"2005"	"2005"	"98 years"	"98"	13184	Not Applicable	Not Applicable
	"2005"	"2005"	"99 years"	"99"	9565	Not Applicable	Not Applicable
	"2005"	"2005"	"100+ years"	"100"	19304	Not Applicable	Not Applicable
	"2005"	"2005"	"Not Stated"	"NS"	255	Not Applicable	Not Applicable
	"2006"	"2006"	"< 1 year"	"0"	28527	4041738	705.8
	"2006"	"2006"	"1 year"	"1"	1841	3972124	46.3
	"2006"	"2006"	"2 years"	"2"	1218	3988119	30.5
	"2006"	"2006"	"3 years"	"3"	864	3966022	21.8
	"2006"	"2006"	"4 years"	"4"	708	3970880	17.8
	"2006"	"2006"	"5 years"	"5"	687	4050582	17.0
	"2006"	"2006"	"6 years"	"6"	544	3891329	14.0
	"2006"	"2006"	"7 years"	"7"	508	3848758	13.2
	"2006"	"2006"	"8 years"	"8"	514	3852265	13.3
	"2006"	"2006"	"9 years"	"9"	482	3901754	12.4
	"2006"	"2006"	"10 years"	"10"	511	4121105	12.4
	"2006"	"2006"	"11 years"	"11"	570	4141970	13.8
	"2006"	"2006"	"12 years"	"12"	583	4196880	13.9
	"2006"	"2006"	"13 years"	"13"	758	4264733	17.8
	"2006"	"2006"	"14 years"	"14"	992	4308450	23.0
	"2006"	"2006"	"15 years"	"15"	1414	4406515	32.1
	"2006"	"2006"	"16 years"	"16"	2152	4502997	47.8
	"2006"	"2006"	"17 years"	"17"	2724	4331493	62.9
	"2006"	"2006"	"18 years"	"18"	3539	4301050	82.3
	"2006"	"2006"	"19 years"	"19"	3910	4265654	91.7
	"2006"	"2006"	"20 years"	"20"	4005	4248095	94.3
	"2006"	"2006"	"21 years"	"21"	4353	4258790	102.2
	"2006"	"2006"	"22 years"	"22"	4157	4141532	100.4
	"2006"	"2006"	"23 years"	"23"	4275	4186427	102.1
	"2006"	"2006"	"24 years"	"24"	4358	4201291	103.7
	"2006"	"2006"	"25 years"	"25"	4345	4254643	102.1
	"2006"	"2006"	"26 years"	"26"	4216	4186325	100.7
	"2006"	"2006"	"27 years"	"27"	4276	4004498	106.8
	"2006"	"2006"	"28 years"	"28"	3976	3874154	102.6
	"2006"	"2006"	"29 years"	"29"	4084	3790391	107.7
	"2006"	"2006"	"30 years"	"30"	3982	3779051	105.4
	"2006"	"2006"	"31 years"	"31"	4278	3824265	111.9
	"2006"	"2006"	"32 years"	"32"	4241	3772538	112.4
	"2006"	"2006"	"33 years"	"33"	4524	3860165	117.2
	"2006"	"2006"	"34 years"	"34"	5030	4049149	124.2
	"2006"	"2006"	"35 years"	"35"	5753	4302604	133.7
	"2006"	"2006"	"36 years"	"36"	5895	4380502	134.6
	"2006"	"2006"	"37 years"	"37"	6047	4126573	146.5
	"2006"	"2006"	"38 years"	"38"	6545	4056686	161.3
	"2006"	"2006"	"39 years"	"39"	7259	4074868	178.1
	"2006"	"2006"	"40 years"	"40"	8075	4184594	193.0
	"2006"	"2006"	"41 years"	"41"	9137	4488189	203.6
	"2006"	"2006"	"42 years"	"42"	10485	4552280	230.3
	"2006"	"2006"	"43 years"	"43"	11507	4544742	253.2
	"2006"	"2006"	"44 years"	"44"	12340	4532763	272.2
	"2006"	"2006"	"45 years"	"45"	13556	4573546	296.4
	"2006"	"2006"	"46 years"	"46"	14516	4682144	310.0
	"2006"	"2006"	"47 years"	"47"	15790	4506142	350.4
	"2006"	"2006"	"48 years"	"48"	17184	4495342	382.3
	"2006"	"2006"	"49 years"	"49"	18222	4458112	408.7
	"2006"	"2006"	"50 years"	"50"	19181	4264904	449.7
	"2006"	"2006"	"51 years"	"51"	20212	4320192	467.8
	"2006"	"2006"	"52 years"	"52"	21327	4114856	518.3
	"2006"	"2006"	"53 years"	"53"	22088	3996095	552.7
	"2006"	"2006"	"54 years"	"54"	22955	3874826	592.4
	"2006"	"2006"	"55 years"	"55"	23641	3745012	631.3
	"2006"	"2006"	"56 years"	"56"	24552	3760899	652.8
	"2006"	"2006"	"57 years"	"57"	26014	3601973	722.2
	"2006"	"2006"	"58 years"	"58"	28325	3568659	793.7
	"2006"	"2006"	"59 years"	"59"	30521	3720317	820.4
	"2006"	"2006"	"60 years"	"60"	26299	2757092	953.9
	"2006"	"2006"	"61 years"	"61"	27110	2776869	976.3
	"2006"	"2006"	"62 years"	"62"	29990	2725651	1100.3
	"2006"	"2006"	"63 years"	"63"	33146	2810202	1179.5
	"2006"	"2006"	"64 years"	"64"	31803	2463439	1291.0
	"2006"	"2006"	"65 years"	"65"	31888	2286008	1394.9
	"2006"	"2006"	"66 years"	"66"	32682	2213751	1476.3
	"2006"	"2006"	"67 years"	"67"	34477	2098690	1642.8
	"2006"	"2006"	"68 years"	"68"	35715	2044245	1747.1
	"2006"	"2006"	"69 years"	"69"	37121	1910507	1943.0
	"2006"	"2006"	"70 years"	"70"	39233	1848556	2122.4
	"2006"	"2006"	"71 years"	"71"	41674	1848947	2253.9
	"2006"	"2006"	"72 years"	"72"	42333	1672443	2531.2
	"2006"	"2006"	"73 years"	"73"	45897	1660842	2763.5
	"2006"	"2006"	"74 years"	"74"	49073	1619038	3031.0
	"2006"	"2006"	"75 years"	"75"	52331	1573506	3325.8
	"2006"	"2006"	"76 years"	"76"	56867	1587027	3583.2
	"2006"	"2006"	"77 years"	"77"	59092	1472328	4013.5
	"2006"	"2006"	"78 years"	"78"	63064	1441641	4374.5
	"2006"	"2006"	"79 years"	"79"	66356	1372532	4834.6
	"2006"	"2006"	"80 years"	"80"	69171	1278890	5408.7
	"2006"	"2006"	"81 years"	"81"	72756	1239927	5867.8
	"2006"	"2006"	"82 years"	"82"	75132	1138135	6601.3
	"2006"	"2006"	"83 years"	"83"	75017	1036784	7235.5
	"2006"	"2006"	"84 years"	"84"	77552	954381	8125.9
	"2006"	"2006"	"85 years"	"85"	77234	Not Applicable	Not Applicable
	"2006"	"2006"	"86 years"	"86"	74920	Not Applicable	Not Applicable
	"2006"	"2006"	"87 years"	"87"	69050	Not Applicable	Not Applicable
	"2006"	"2006"	"88 years"	"88"	67930	Not Applicable	Not Applicable
	"2006"	"2006"	"89 years"	"89"	62978	Not Applicable	Not Applicable
	"2006"	"2006"	"90 years"	"90"	58627	Not Applicable	Not Applicable
	"2006"	"2006"	"91 years"	"91"	54359	Not Applicable	Not Applicable
	"2006"	"2006"	"92 years"	"92"	48560	Not Applicable	Not Applicable
	"2006"	"2006"	"93 years"	"93"	41846	Not Applicable	Not Applicable
	"2006"	"2006"	"94 years"	"94"	34970	Not Applicable	Not Applicable
	"2006"	"2006"	"95 years"	"95"	28775	Not Applicable	Not Applicable
	"2006"	"2006"	"96 years"	"96"	22773	Not Applicable	Not Applicable
	"2006"	"2006"	"97 years"	"97"	17591	Not Applicable	Not Applicable
	"2006"	"2006"	"98 years"	"98"	13590	Not Applicable	Not Applicable
	"2006"	"2006"	"99 years"	"99"	9507	Not Applicable	Not Applicable
	"2006"	"2006"	"100+ years"	"100"	19282	Not Applicable	Not Applicable
	"2006"	"2006"	"Not Stated"	"NS"	220	Not Applicable	Not Applicable
	"2007"	"2007"	"< 1 year"	"0"	29138	4147997	702.5
	"2007"	"2007"	"1 year"	"1"	1940	4002215	48.5
	"2007"	"2007"	"2 years"	"2"	1178	3973479	29.6
	"2007"	"2007"	"3 years"	"3"	882	4004011	22.0
	"2007"	"2007"	"4 years"	"4"	703	3998260	17.6
	"2007"	"2007"	"5 years"	"5"	595	3993489	14.9
	"2007"	"2007"	"6 years"	"6"	570	4046402	14.1
	"2007"	"2007"	"7 years"	"7"	528	3914743	13.5
	"2007"	"2007"	"8 years"	"8"	511	3863089	13.2
	"2007"	"2007"	"9 years"	"9"	507	3896888	13.0
	"2007"	"2007"	"10 years"	"10"	551	4075718	13.5
	"2007"	"2007"	"11 years"	"11"	535	4106492	13.0
	"2007"	"2007"	"12 years"	"12"	590	4192002	14.1
	"2007"	"2007"	"13 years"	"13"	781	4207326	18.6
	"2007"	"2007"	"14 years"	"14"	979	4259504	23.0
	"2007"	"2007"	"15 years"	"15"	1372	4364495	31.4
	"2007"	"2007"	"16 years"	"16"	2009	4452250	45.1
	"2007"	"2007"	"17 years"	"17"	2593	4521045	57.4
	"2007"	"2007"	"18 years"	"18"	3504	4394638	79.7
	"2007"	"2007"	"19 years"	"19"	3821	4335388	88.1
	"2007"	"2007"	"20 years"	"20"	3769	4242404	88.8
	"2007"	"2007"	"21 years"	"21"	4187	4257371	98.3
	"2007"	"2007"	"22 years"	"22"	4309	4236043	101.7
	"2007"	"2007"	"23 years"	"23"	4113	4143940	99.3
